question_type,dataset,family,model,prompt,calib_size,transfer_type,target,source,median_acc,raw_acc,delta_acc,median_bias,raw_bias,delta_bias,median_rstd,raw_rstd,delta_rstd
yesno,EWOK,Gemma3,gemma-3-27b-it,zeroshot,20,baseline,EWOK,EWOK,0.7298689138576779,0.7294007490636704,0.00046816479400757505,0.09784644194756555,0.21348314606741572,-0.11563670411985018,,,
yesno,EWOK,Gemma3,gemma-3-27b-it,zeroshot,50,baseline,EWOK,EWOK,0.7319756554307116,0.7294007490636704,0.002574906367041274,0.06975655430711611,0.21348314606741572,-0.14372659176029962,,,
yesno,EWOK,Gemma3,gemma-3-27b-it,zeroshot,100,baseline,EWOK,EWOK,0.7331460674157303,0.7294007490636704,0.0037453183520599342,0.08614232209737828,0.21348314606741572,-0.12734082397003743,,,
yesno,EWOK,Gemma3,gemma-3-27b-it,zeroshot,200,baseline,EWOK,EWOK,0.7331460674157303,0.7294007490636704,0.0037453183520599342,0.08239700374531835,0.21348314606741572,-0.13108614232209737,,,
yesno,EWOK,Gemma3,gemma-3-27b-it,zeroshot,300,baseline,EWOK,EWOK,0.7331460674157303,0.7294007490636704,0.0037453183520599342,0.0852059925093633,0.21348314606741572,-0.12827715355805241,,,
yesno,EWOK,Gemma3,gemma-3-27b-it,zeroshot,400,baseline,EWOK,EWOK,0.7326779026217228,0.7294007490636704,0.0032771535580524702,0.08895131086142322,0.21348314606741572,-0.12453183520599251,,,
yesno,EWOK,Gemma3,gemma-3-27b-it,zeroshot,500,baseline,EWOK,EWOK,0.7331460674157303,0.7294007490636704,0.0037453183520599342,0.08997196281383729,0.21348314606741572,-0.12351118325357843,,,
yesno,EWOK,Gemma3,gemma-3-12b-pt,zeroshot,10,baseline,EWOK,EWOK,0.5833333333333334,0.5852059925093633,-0.0018726591760299671,0.2298689138576779,0.5224719101123596,-0.29260299625468167,,,
yesno,EWOK,Gemma3,gemma-3-12b-pt,zeroshot,20,baseline,EWOK,EWOK,0.5847378277153558,0.5852059925093633,-0.00046816479400757505,0.11470037453183521,0.5224719101123596,-0.40777153558052437,,,
yesno,EWOK,Gemma3,gemma-3-12b-pt,zeroshot,50,baseline,EWOK,EWOK,0.5856741573033708,0.5852059925093633,0.000468164794007464,0.07802365945007764,0.5224719101123596,-0.444448250662282,,,
yesno,EWOK,Gemma3,gemma-3-12b-pt,zeroshot,100,baseline,EWOK,EWOK,0.5864741239011009,0.5852059925093633,0.001268131391737537,0.04073033707865169,0.5224719101123596,-0.4817415730337079,,,
